Facility/HHS Code,Facility/HHS Desc,Last Month in QTR,Triage_Category,Number of Attendances,Variation in the number of attendances (%),Patients Seen within clinically recommended times (%),Median Waiting time to treatment (minutes),Patients who did not wait for treatment (%),Patients admitted from the Emergency Department (%),Admissions to hospital within 4 hours (%),Patients whose ED stay was within 4 hours (%),Number of patients who left after treatment commenced,Percentage of patients who left after treatment commenced (%),Number of patients who did not wait for treatment
104,Toowoomba,Sep-25,5,286,-8.3,81.3,31,12.2,5.2,73.3,76.9,28,9.8,35
104,Toowoomba,Sep-25,ALL,16043,4.4,50.9,25,4,35.8,28.2,44,1513,9.4,637
105,Warwick,Sep-25,1,71,121.9,100,0,0,35.2,40,49.3,0,0,0
105,Warwick,Sep-25,2,779,-3.1,52.2,10,0.3,46.2,55.6,59.8,7,0.9,2
105,Warwick,Sep-25,3,1884,-4.8,56,25,3.2,25.3,46.3,69.5,27,1.4,61
105,Warwick,Sep-25,4,1880,-17.5,63.4,39,9.5,5.2,30.6,84.6,16,0.9,179
105,Warwick,Sep-25,5,568,2.3,88.8,27,10.7,1.6,55.6,92.8,2,0.4,61
105,Warwick,Sep-25,ALL,5182,-8.2,61.8,24,5.8,18.7,48.1,75.8,52,1,303
106,Wandoan,Sep-25,1,0,-,-,-,-,-,-,-,0,-,0
106,Wandoan,Sep-25,2,1,-,100,0,0,0,-,100,0,0,0
106,Wandoan,Sep-25,3,1,-80,100,0,0,0,-,100,0,0,0
106,Wandoan,Sep-25,4,30,-38.8,100,0,0,0,-,100,0,0,0
106,Wandoan,Sep-25,5,306,20.9,100,0,0,0,-,99.7,0,0,0
106,Wandoan,Sep-25,ALL,338,10.1,100,0,0,0,-,99.7,0,0,0
112,Charleville,Sep-25,1,0,-100,-,-,-,-,-,-,0,-,0
112,Charleville,Sep-25,2,123,44.7,100,0,3.3,51.2,85.7,78,0,0,4
112,Charleville,Sep-25,3,316,-8.1,100,0,1.9,30.7,70.1,84.5,5,1.6,6
112,Charleville,Sep-25,4,549,2.6,100,0,3.1,11.3,79,90.9,4,0.7,17
112,Charleville,Sep-25,5,250,57.2,100,0,6.8,5.6,71.4,93.2,2,0.8,17
112,Charleville,Sep-25,ALL,1238,9.9,100,0,3.6,19.1,76.7,88.4,11,0.9,44
113,Cunnamulla,Sep-25,1,4,300,100,0,0,25,100,50,0,0,0
113,Cunnamulla,Sep-25,2,57,83.9,100,0,0,38.6,77.3,78.9,1,1.8,0
113,Cunnamulla,Sep-25,3,159,29.3,96.8,0,0.6,28.3,93.3,89.9,3,1.9,1
113,Cunnamulla,Sep-25,4,192,21.5,98.9,0,1.6,6.8,84.6,95.8,1,0.5,3
113,Cunnamulla,Sep-25,5,113,36.1,100,0,2.7,0.9,100,99.1,1,0.9,3
113,Cunnamulla,Sep-25,ALL,525,32.6,98.6,0,1.3,15.6,87.8,92.6,6,1.1,7
114,Dirranbandi,Sep-25,1,0,-100,-,-,-,-,-,-,0,-,0
114,Dirranbandi,Sep-25,2,19,46.2,100,0,0,31.6,83.3,73.7,2,10.5,0
114,Dirranbandi,Sep-25,3,52,-20,96.2,0,0,25,76.9,92.3,0,0,0
114,Dirranbandi,Sep-25,4,81,-12,97.5,0,1.2,8.6,85.7,97.5,1,1.2,1
114,Dirranbandi,Sep-25,5,67,-10.7,98.1,0,1.5,1.5,100,100,0,0,1
114,Dirranbandi,Sep-25,ALL,219,-11.3,97.5,0,0.9,12.3,81.5,95,3,1.4,2
116,Mitchell,Sep-25,1,1,-,100,0,0,0,-,100,0,0,0
116,Mitchell,Sep-25,2,40,-20,100,0,0,80,93.8,87.5,0,0,0
116,Mitchell,Sep-25,3,114,-4.2,100,0,0,36.8,95.2,92.1,3,2.6,0
116,Mitchell,Sep-25,4,138,-0.7,100,0,2.2,13.8,84.2,95.7,2,1.4,3
116,Mitchell,Sep-25,5,65,66.7,100,0,0,6.2,100,96.9,0,0,0
116,Mitchell,Sep-25,ALL,358,3.2,100,0,0.8,27.1,92.8,93.9,5,1.4,3
117,Mungindi,Sep-25,1,3,-,100,0,0,100,100,100,0,0,0
117,Mungindi,Sep-25,2,6,-64.7,100,0,0,0,-,50,0,0,0
117,Mungindi,Sep-25,3,50,4.2,100,0,0,18,88.9,88,0,0,0
117,Mungindi,Sep-25,4,92,-8,98.9,0,1.1,9.8,88.9,89.1,1,1.1,1
117,Mungindi,Sep-25,5,22,-21.4,100,0,0,0,-,100,0,0,0
117,Mungindi,Sep-25,ALL,173,-10.4,99.4,0,0.6,12.1,90.5,89,1,0.6,1
118,Quilpie,Sep-25,1,1,0,100,0,0,100,100,100,0,0,0
118,Quilpie,Sep-25,2,26,85.7,100,0,0,46.2,83.3,92.3,2,7.7,0
118,Quilpie,Sep-25,3,45,-13.5,100,0,2.2,28.9,100,97.8,0,0,1
118,Quilpie,Sep-25,4,76,10.1,100,0,0,9.2,100,97.4,0,0,0
118,Quilpie,Sep-25,5,52,0,100,0,1.9,1.9,100,100,0,0,1
118,Quilpie,Sep-25,ALL,200,6.4,100,0,1,17,94.1,97.5,2,1,2
119,Roma,Sep-25,1,9,80,100,0,0,44.4,0,22.2,0,0,0
119,Roma,Sep-25,2,292,5.4,97.9,3,0.7,36,29.5,46.9,4,1.4,2
119,Roma,Sep-25,3,936,17.1,89.6,12,1.6,21.6,28.7,61.9,9,1,15
119,Roma,Sep-25,4,1342,1.8,90.4,20,8.5,7.6,23.5,76.9,17,1.3,114
119,Roma,Sep-25,5,347,-13,97.6,23,11.8,5.8,70,91.9,2,0.6,41
119,Roma,Sep-25,ALL,2926,4.6,91.8,14,5.9,14.8,29.3,70.7,32,1.1,172
120,St George,Sep-25,1,1,-83.3,100,2,0,0,-,100,0,0,0
120,St George,Sep-25,2,82,26.2,100,0,0,53.7,95.5,95.1,0,0,0
120,St George,Sep-25,3,282,16,99.6,5,0.7,25.2,100,99.6,0,0,2
120,St George,Sep-25,4,539,-4.1,99.8,5,0.6,8.9,100,98,1,0.2,3
120,St George,Sep-25,5,421,-40.6,100,7,0.5,3.8,100,99.5,2,0.5,2
120,St George,Sep-25,ALL,1325,-16.4,99.8,5,0.5,13.5,98.9,98.6,3,0.2,7
121,Surat,Sep-25,1,3,-,100,0,0,33.3,100,100,0,0,0
121,Surat,Sep-25,2,9,-25,100,0,0,66.7,100,77.8,0,0,0
121,Surat,Sep-25,3,49,63.3,97.9,0,2,16.3,62.5,83.7,1,2,1
121,Surat,Sep-25,4,91,23,98.9,0,0,8.8,75,85.7,0,0,0
121,Surat,Sep-25,5,68,-19,98.2,0,0,0,-,97.1,0,0,0
121,Surat,Sep-25,ALL,220,10,98.5,0,0.5,10.5,78.3,88.6,1,0.5,1
133,Biloela,Sep-25,1,6,20,100,0,0,33.3,50,66.7,0,0,0
133,Biloela,Sep-25,2,206,1.5,71.3,5,1.9,24.3,68,63.1,4,1.9,4
133,Biloela,Sep-25,3,623,4,76.8,10,2.9,13.5,61.9,77,15,2.4,18
133,Biloela,Sep-25,4,612,-26,86.3,11,9.6,1.8,81.8,92.8,15,2.5,59
133,Biloela,Sep-25,5,364,-8.1,95.1,15,6.6,0.5,100,95.6,3,0.8,24
133,Biloela,Sep-25,ALL,1811,-10.8,82.5,10,5.8,8.2,65.8,84.5,37,2,105
134,Blackwater,Sep-25,1,5,66.7,100,0,0,20,100,60,0,0,0
134,Blackwater,Sep-25,2,161,-13.4,89.4,0,0.6,9.9,50,56.5,5,3.1,1
134,Blackwater,Sep-25,3,454,1.3,94.1,5,2.9,4.2,73.7,82.8,9,2,13
134,Blackwater,Sep-25,4,976,6.7,95.8,5,5,1,80,96.2,10,1,49
134,Blackwater,Sep-25,5,136,-32.7,100,4,3.7,0,-,100,1,0.7,5
134,Blackwater,Sep-25,ALL,1732,-1.3,95,5,3.9,2.7,67.4,89.2,25,1.4,68
135,Emerald,Sep-25,1,22,0,100,0,0,45.5,80,63.6,0,0,0
135,Emerald,Sep-25,2,507,12.2,49.2,11,0.2,43,71.6,64.5,12,2.4,1
135,Emerald,Sep-25,3,1517,1.9,50,31,1.6,24.2,57.8,69.9,38,2.5,24
135,Emerald,Sep-25,4,1873,-1.6,52.3,56,5.4,4.6,46.5,79.9,73,3.9,101
135,Emerald,Sep-25,5,457,15.4,78.1,34,11.4,2.6,66.7,86.4,18,3.9,52
135,Emerald,Sep-25,ALL,4376,2.7,53.7,35,4.1,15.8,61.2,75.3,141,3.2,178
136,Gladstone,Sep-25,1,66,22.2,100,0,0,57.6,50,39.4,3,4.5,0
136,Gladstone,Sep-25,2,1378,14,59.8,8,0.1,39.4,31.7,49.7,41,3,2
136,Gladstone,Sep-25,3,3512,-3.5,74.3,18,2.6,24.4,24.5,50.6,249,7.1,92
136,Gladstone,Sep-25,4,3323,-24.1,91.4,18,5.3,8.2,25.4,70.6,289,8.7,176
136,Gladstone,Sep-25,5,487,0.8,96.8,14,7.6,4.3,42.9,86.7,24,4.9,37
136,Gladstone,Sep-25,ALL,8766,-10.2,79.6,16,3.5,19.8,27.7,60,606,6.9,307
139,Mount Morgan,Sep-25,1,2,-60,100,0,0,0,-,100,0,0,0
139,Mount Morgan,Sep-25,2,125,21.4,95.1,0,2.4,16.8,47.6,63.2,7,5.6,3
139,Mount Morgan,Sep-25,3,266,-22,89.1,1,2.6,8.3,45.5,77.4,8,3,7
139,Mount Morgan,Sep-25,4,327,-12.6,95.7,1,3.1,2.1,28.6,85.6,4,1.2,10
139,Mount Morgan,Sep-25,5,102,96.2,100,2,9.8,2,50,89.2,0,0,10
139,Mount Morgan,Sep-25,ALL,822,-6.1,93.9,1,3.6,6.3,44.2,80,19,2.3,30
140,Moura,Sep-25,1,1,0,100,0,0,0,-,0,0,0,0
140,Moura,Sep-25,2,47,113.6,97.8,0,2.1,27.7,92.3,91.5,0,0,1
140,Moura,Sep-25,3,94,-22.3,98.9,0,2.1,19.1,77.8,85.1,2,2.1,2
140,Moura,Sep-25,4,182,-9.9,100,0,1.1,4.4,100,98.4,2,1.1,2
140,Moura,Sep-25,5,98,-41.7,100,0,3.1,1,100,100,0,0,3
140,Moura,Sep-25,ALL,422,-17.9,99.5,0,1.9,9.5,87.5,94.8,4,0.9,8
141,Rockhampton,Sep-25,1,98,-21.6,100,0,0,63.3,41.9,37.8,1,1,0
141,Rockhampton,Sep-25,2,2643,10.3,83.6,5,0.5,42.8,23.3,38.9,117,4.4,14
141,Rockhampton,Sep-25,3,5598,-3.6,52.6,28,3.2,32.7,19.1,40.9,297,5.3,177
141,Rockhampton,Sep-25,4,4255,9.4,66.7,35,5.6,13.5,16.4,63.2,215,5.1,237
141,Rockhampton,Sep-25,5,563,10.4,91,24,9.6,6.4,30.6,83.8,20,3.6,54
141,Rockhampton,Sep-25,ALL,13157,3.4,65.4,18,3.7,27.6,20.5,49.5,650,4.9,482
142,Springsure,Sep-25,1,2,100,100,0,0,100,100,100,0,0,0
142,Springsure,Sep-25,2,26,8.3,96.2,0,0,19.2,80,57.7,0,0,0
142,Springsure,Sep-25,3,119,6.3,94.9,0,0,24.4,72.4,75.6,2,1.7,0
142,Springsure,Sep-25,4,132,-9.6,98.3,0,2.3,7.6,60,92.4,1,0.8,3
142,Springsure,Sep-25,5,353,72.2,99.5,0,1.1,0.6,100,98.6,0,0,4
142,Springsure,Sep-25,ALL,632,29.5,97.8,0,1.1,7.6,72.9,91.3,3,0.5,7
144,Capricorn Coast,Sep-25,1,16,14.3,100,0,0,6.3,0,56.3,0,0,0
144,Capricorn Coast,Sep-25,2,642,0.2,63.1,7,0.6,20.1,38,45.6,34,5.3,4
144,Capricorn Coast,Sep-25,3,1767,1.4,49.8,31,3.6,12.4,18.3,57.2,72,4.1,64
144,Capricorn Coast,Sep-25,4,2005,-1.5,70.8,28,7.4,3.2,23.4,80.6,79,3.9,148
144,Capricorn Coast,Sep-25,5,336,-2,92.1,25,8.3,0.3,0,90.8,5,1.5,28
144,Capricorn Coast,Sep-25,ALL,4766,-0.2,62.9,23,5.1,8.7,25.1,67.9,190,4,244
145,Woorabinda,Sep-25,1,0,-100,-,-,-,-,-,-,0,-,0
145,Woorabinda,Sep-25,2,70,-23.9,89.7,0,2.9,8.6,100,77.1,2,2.9,2
145,Woorabinda,Sep-25,3,270,-30.9,95.4,0,4.1,8.5,82.6,88.5,17,6.3,11
145,Woorabinda,Sep-25,4,264,55.3,100,0,4.5,2.3,100,97,7,2.7,12
145,Woorabinda,Sep-25,5,111,13.3,100,0,1.8,0,-,98.2,2,1.8,2
145,Woorabinda,Sep-25,ALL,715,-5.2,97.2,0,3.8,4.9,88.6,92,28,3.9,27
152,Barcaldine,Sep-25,1,2,100,100,0,0,50,0,0,0,0,0
152,Barcaldine,Sep-25,2,39,-13.3,92.3,0,0,59,73.9,79.5,1,2.6,0
152,Barcaldine,Sep-25,3,156,-1.3,93.5,0,0.6,21.8,82.4,82.7,4,2.6,1
152,Barcaldine,Sep-25,4,313,41.6,97,0,3.2,6.7,76.2,93.9,1,0.3,10
152,Barcaldine,Sep-25,5,110,6.8,100,1,5.5,1.8,50,93.6,0,0,6
152,Barcaldine,Sep-25,ALL,620,17.4,96.2,0,2.7,13.1,76.5,89.8,6,1,17
153,Blackall,Sep-25,1,0,-100,-,-,-,-,-,-,0,-,0
153,Blackall,Sep-25,2,46,9.5,97.8,0,0,58.7,96.3,95.7,0,0,0
153,Blackall,Sep-25,3,115,42,95.6,0,0,33.9,92.3,88.7,1,0.9,0
153,Blackall,Sep-25,4,143,-27.4,99.3,0,0,14,90,96.5,1,0.7,0
153,Blackall,Sep-25,5,81,-2.4,100,0,1.2,4.9,100,97.5,0,0,1
153,Blackall,Sep-25,ALL,385,-4.7,98.1,0,0.3,23.4,93.3,94.3,2,0.5,1
156,Longreach,Sep-25,1,3,50,100,0,0,100,100,100,0,0,0
156,Longreach,Sep-25,2,68,-26.1,98.5,1,1.5,55.9,71.1,70.6,1,1.5,1
156,Longreach,Sep-25,3,283,-4.4,88.5,6,1.8,27.6,61.5,69.6,2,0.7,5
156,Longreach,Sep-25,4,643,11.8,86.9,16,4.4,7.5,66.7,83,1,0.2,28
156,Longreach,Sep-25,5,601,-14.1,96.6,21,6.3,4,87.5,93.5,0,0,38
156,Longreach,Sep-25,ALL,1598,-4,91,12,4.5,12,68.6,84.1,4,0.3,72
159,Winton,Sep-25,1,0,-100,-,-,-,-,-,-,0,-,0
159,Winton,Sep-25,2,20,-44.4,95,0,0,45,100,85,0,0,0
159,Winton,Sep-25,3,73,14.1,94.5,0,0,34.2,92,87.7,2,2.7,0
159,Winton,Sep-25,4,137,2.2,100,0,0,8.8,100,97.1,2,1.5,0
159,Winton,Sep-25,5,128,2.4,100,0,0,2.3,100,98.4,1,0.8,0
159,Winton,Sep-25,ALL,358,-0.8,98.6,0,0,13.7,95.9,95,5,1.4,0
171,Clermont MPHS,Sep-25,1,1,-90.9,100,1,0,0,-,100,1,100,0
171,Clermont MPHS,Sep-25,2,80,25,82.5,9,0,40,90.6,87.5,0,0,0
171,Clermont MPHS,Sep-25,3,197,34,88.7,10,0,19.3,92.1,93.9,0,0,0
171,Clermont MPHS,Sep-25,4,332,31.7,94.4,15,0,6,90,96.1,0,0,0
171,Clermont MPHS,Sep-25,5,162,43.4,96,18,0.6,4.9,100,99.4,1,0.6,1
171,Clermont MPHS,Sep-25,ALL,772,31.5,91.8,13,0.1,12.7,91.8,95.3,2,0.3,1
172,Mackay,Sep-25,1,139,14.9,100,1,0,68.3,31.6,30.9,3,2.2,0
172,Mackay,Sep-25,2,4721,18.7,95.8,8,0.3,53.1,22.7,37.3,85,1.8,16
172,Mackay,Sep-25,3,5862,-5.2,65.5,21,3.7,34.2,19.7,47.6,229,3.9,219
172,Mackay,Sep-25,4,2789,-13.9,77.9,26,4.7,9.9,24.5,73.5,83,3,130
172,Mackay,Sep-25,5,363,-18.2,92.4,23,8,3.3,50,88.4,7,1.9,29
172,Mackay,Sep-25,ALL,13874,-0.6,79.5,11,2.8,35.3,21.8,50.2,407,2.9,394
173,Moranbah,Sep-25,1,3,200,100,1,0,0,-,66.7,0,0,0
173,Moranbah,Sep-25,2,151,15.3,82.1,8,0,10.6,68.8,73.5,1,0.7,0
173,Moranbah,Sep-25,3,525,19,82.9,12,0.6,8.6,62.2,85.7,3,0.6,3
173,Moranbah,Sep-25,4,1135,80.2,96,15,0.2,1.7,63.2,94.4,8,0.7,2
173,Moranbah,Sep-25,5,597,23.3,98.8,15,1.3,1.2,100,98.7,2,0.3,8
173,Moranbah,Sep-25,ALL,2411,42.9,92.6,13,0.5,3.6,66.7,92.2,14,0.6,13
174,Proserpine,Sep-25,1,25,47.1,100,1,0,48,33.3,36,0,0,0
174,Proserpine,Sep-25,2,526,53.4,82.8,9,0.4,56.3,35.5,52.1,2,0.4,2
174,Proserpine,Sep-25,3,1733,21.9,78.8,18,1.3,33.1,31.4,69.1,8,0.5,22
174,Proserpine,Sep-25,4,2053,-2.1,82.9,25,2.4,11,50.7,89,11,0.5,50
174,Proserpine,Sep-25,5,525,-37.6,93.5,28,4.6,4.8,52,94.5,4,0.8,24
174,Proserpine,Sep-25,ALL,4862,3,82.5,19,2,23.3,36.8,78.2,25,0.5,98
175,Sarina,Sep-25,1,2,0,100,1,0,0,-,100,0,0,0
175,Sarina,Sep-25,2,183,39.7,76,9,0,25.7,59.6,78.1,1,0.5,0
175,Sarina,Sep-25,3,577,-4.5,86.5,15,0.2,11.3,47.7,86.8,4,0.7,1
175,Sarina,Sep-25,4,770,-18.5,96.1,16,1.2,4.5,57.1,96.1,8,1,9
175,Sarina,Sep-25,5,647,30.4,98.4,23,1.4,0.3,0,98.5,3,0.5,9
175,Sarina,Sep-25,ALL,2179,0,92.2,16,0.9,6.8,53,92.8,16,0.7,19
176,Dysart,Sep-25,1,3,-40,100,1,0,33.3,100,100,0,0,0
176,Dysart,Sep-25,2,75,23,96,4,0,52,89.7,94.7,0,0,0
176,Dysart,Sep-25,3,214,-0.5,95.2,8,1.9,18.2,87.2,96.3,3,1.4,4
176,Dysart,Sep-25,4,273,-7.5,99.3,6,0.4,2.9,100,98.9,6,2.2,1
176,Dysart,Sep-25,5,53,-59.8,100,6,1.9,0,-,100,0,0,1
176,Dysart,Sep-25,ALL,618,-12.7,97.5,6,1,14.1,89.7,97.6,9,1.5,6
191,Ayr,Sep-25,1,15,50,100,0,0,13.3,50,73.3,0,0,0
191,Ayr,Sep-25,2,286,49,54.2,10,0.3,35,69,78,3,1,1
191,Ayr,Sep-25,3,1221,19.6,70.2,18,0.6,21.1,63.2,83.1,13,1.1,7
191,Ayr,Sep-25,4,1515,-19.7,86.6,20,1.4,5.7,63.2,93.6,15,1,21
191,Ayr,Sep-25,5,412,-27.3,97.7,18,4.9,1,75,98.1,5,1.2,20
191,Ayr,Sep-25,ALL,3449,-6.2,79,17,1.4,13.1,64.5,89,36,1,49
192,Bowen,Sep-25,1,21,31.3,100,1,0,23.8,40,33.3,0,0,0
192,Bowen,Sep-25,2,392,40,78.4,9,0.5,27.6,25,48.5,2,0.5,2
192,Bowen,Sep-25,3,1174,10.4,60,27,1.8,18.3,16.3,64.1,8,0.7,21
192,Bowen,Sep-25,4,1697,-6.9,61.1,48,7.4,3.5,18.6,84.1,7,0.4,125
192,Bowen,Sep-25,5,523,29.5,88.5,33,9.4,0.2,0,92.2,2,0.4,49
192,Bowen,Sep-25,ALL,3807,6.2,66,29,5.2,10.2,19.3,75.1,19,0.5,197
193,Charters Towers,Sep-25,1,10,-23.1,100,0,0,40,75,80,0,0,0
193,Charters Towers,Sep-25,2,251,21.3,59.4,8,0.8,41.8,92.4,91.6,2,0.8,2
193,Charters Towers,Sep-25,3,711,16.6,73.4,17,0.3,31.4,87.4,89.6,8,1.1,2
193,Charters Towers,Sep-25,4,1212,-1.7,87.7,18,2.2,10.6,85.2,96,13,1.1,27
193,Charters Towers,Sep-25,5,628,-31.6,97.4,16,5.4,1.8,90.9,98.9,10,1.6,34
193,Charters Towers,Sep-25,ALL,2812,-5.7,83.1,16,2.3,16.7,87.9,94.6,33,1.2,65
196,Ingham,Sep-25,1,6,-57.1,100,1,0,33.3,50,50,0,0,0
196,Ingham,Sep-25,2,260,18.7,75.8,7,0,50.4,60.3,64.2,2,0.8,0
196,Ingham,Sep-25,3,992,32.3,79.2,13,1.2,27.6,60.2,73.6,8,0.8,12
196,Ingham,Sep-25,4,939,-17,90.3,13,1.7,9.4,62.5,85.9,17,1.8,16
196,Ingham,Sep-25,5,648,13.7,97.1,13,3.9,8.2,83,94.4,3,0.5,25
196,Ingham,Sep-25,ALL,2845,6,86.1,12,1.9,19.3,62.8,81.5,30,1.1,53
197,Joyce Palmer HS,Sep-25,1,6,50,100,0,0,50,100,100,1,16.7,0
197,Joyce Palmer HS,Sep-25,2,167,5,71.3,7,1.2,38.3,79.7,74.3,6,3.6,2
197,Joyce Palmer HS,Sep-25,3,520,22.9,84,12,1.5,24,71.2,84.2,13,2.5,8
197,Joyce Palmer HS,Sep-25,4,543,3,93,11,4.6,10.3,83.9,90.6,28,5.2,25
197,Joyce Palmer HS,Sep-25,5,416,52.4,99.4,8,4.6,1.2,100,96.9,14,3.4,19
197,Joyce Palmer HS,Sep-25,ALL,1652,19.2,89.2,10,3.3,15.3,77.1,88.6,62,3.8,54
200,Townsville,Sep-25,1,154,-10.5,100,0,0,81.8,63.5,59.7,0,0,0
200,Townsville,Sep-25,2,3643,0.9,80,4,0.2,48.7,28.2,38.6,103,2.8,8
200,Townsville,Sep-25,3,12200,-0.3,68,17,4.1,30.2,20.6,42.4,853,7,503
200,Townsville,Sep-25,4,7108,-1.7,74.8,28,7.5,17.3,23.2,57.6,446,6.3,533
200,Townsville,Sep-25,5,840,-3.2,89.9,29,9.5,7.1,35,80.4,39,4.6,80
200,Townsville,Sep-25,ALL,23945,-0.7,72.8,16,4.7,28.7,23.9,47.8,1441,6,1124
201,Royal Brisbane & Women's,Sep-25,1,407,10.6,100,0,0,80.8,40.7,41,7,1.7,0
201,Royal Brisbane & Women's,Sep-25,2,3284,1.8,68,8,0.5,51.7,25.7,38.2,101,3.1,16
201,Royal Brisbane & Women's,Sep-25,3,8132,3.1,38,46,4.7,41.9,22.2,34.1,228,2.8,381
201,Royal Brisbane & Women's,Sep-25,4,8551,0.7,58.4,47,8.5,25.8,23.2,45.7,307,3.6,727
201,Royal Brisbane & Women's,Sep-25,5,1660,-6.5,86.1,37,12.6,9.2,30.7,69.2,43,2.6,209
201,Royal Brisbane & Women's,Sep-25,ALL,22034,1.3,55.1,34,6,35.3,24.2,42,686,3.1,1333
202,Queensland Children's,Sep-25,1,83,-5.7,100,1,0,81.9,47.1,47,0,0,0
202,Queensland Children's,Sep-25,2,2625,3.8,90.2,7,0,62.1,52.8,61,2,0.1,0
202,Queensland Children's,Sep-25,3,7215,10.3,74.5,16,0.8,32.4,33.4,53.8,183,2.5,61
202,Queensland Children's,Sep-25,4,7970,-4.9,82.3,21,3,13.2,33,65.9,291,3.7,239
202,Queensland Children's,Sep-25,5,943,-44.7,95.1,23,4,4,57.9,83.2,20,2.1,38
202,Queensland Children's,Sep-25,ALL,18836,-2.1,81.1,15,1.8,27.2,39.8,61.4,496,2.6,338
211,Atherton,Sep-25,1,25,-19.4,100,1,0,48,25,44,1,4,0
211,Atherton,Sep-25,2,548,15.6,81.9,6,0.7,43.6,26.8,45.3,7,1.3,4
211,Atherton,Sep-25,3,1845,1.9,77.5,15,3.8,27.2,21.7,57.7,11,0.6,71
211,Atherton,Sep-25,4,2050,0.5,66.7,33,10.6,6.7,29.7,76.5,12,0.6,217
211,Atherton,Sep-25,5,803,-11.4,87.1,25,13.4,2,81.3,89.5,3,0.4,108
211,Atherton,Sep-25,ALL,5271,0.2,75.3,16,7.6,17.2,25.4,68.5,34,0.6,400
212,Babinda,Sep-25,1,3,200,100,1,0,33.3,100,100,0,0,0
212,Babinda,Sep-25,2,81,68.8,84,6,0,49.4,82.5,91.4,0,0,0
212,Babinda,Sep-25,3,199,1.5,87.7,12,1,23.1,84.8,92,0,0,2
212,Babinda,Sep-25,4,335,13.9,96.1,10,3.6,7.5,80,94.3,0,0,12
212,Babinda,Sep-25,5,325,45.7,99.3,10,4.3,8.6,100,98.5,1,0.3,14
212,Babinda,Sep-25,ALL,943,23.8,94.1,10,3,14.8,86.4,95,1,0.1,28
213,Bamaga,Sep-25,1,1,-50,100,0,0,100,100,100,0,0,0
213,Bamaga,Sep-25,2,111,9.9,93.7,3,0,35.1,71.8,78.4,5,4.5,0
213,Bamaga,Sep-25,3,230,-13.9,95.6,11,0,25.7,71.2,83.5,3,1.3,0
213,Bamaga,Sep-25,4,544,-17.1,98.1,13,2.6,6.4,85.7,97.2,1,0.2,14
213,Bamaga,Sep-25,5,657,-3,99.4,14,4.6,0.9,100,98.5,1,0.2,30
213,Bamaga,Sep-25,ALL,1543,-9.4,97.8,11,2.9,9.1,76.4,94.4,10,0.6,44
214,Cairns,Sep-25,1,382,10.7,100,1,0,85.1,37.5,38.5,1,0.3,0
214,Cairns,Sep-25,2,5186,22.4,76.8,6,0.4,57.6,34.2,41.5,110,2.1,20
214,Cairns,Sep-25,3,10801,8.6,69.8,17,2.1,43.1,31,44.3,465,4.3,228
214,Cairns,Sep-25,4,5747,-6.7,83.7,20,4.9,19.6,34.6,62.2,347,6,280
214,Cairns,Sep-25,5,888,-3.2,96,21,8.3,6.3,35.7,78.3,66,7.4,74
214,Cairns,Sep-25,ALL,23004,6.5,76.3,13,2.6,39.8,32.8,49.3,989,4.3,602
216,Cooktown,Sep-25,1,2,-33.3,100,0,0,100,0,0,0,0,0
216,Cooktown,Sep-25,2,182,80.2,95.5,1,2.2,50.5,68.5,72,4,2.2,4
216,Cooktown,Sep-25,3,525,40.4,94.5,6,2.5,36.8,78.8,85.3,8,1.5,13
216,Cooktown,Sep-25,4,943,-6.5,89.9,15,5.4,8.4,74.7,93.7,1,0.1,51
216,Cooktown,Sep-25,5,546,0.4,95.9,15,6.6,2.4,92.3,96.5,1,0.2,36
216,Cooktown,Sep-25,ALL,2198,8.2,92.9,10,4.7,17.2,75.5,90.5,14,0.6,104
222,Innisfail,Sep-25,1,22,0,100,1,0,72.7,43.8,59.1,0,0,0
222,Innisfail,Sep-25,2,467,6.6,96.7,4,1.1,43,60.7,71.7,7,1.5,5
222,Innisfail,Sep-25,3,1186,-6,86,10,2,32,58.9,76.3,17,1.4,24
222,Innisfail,Sep-25,4,1985,-9.1,84.9,14,6.3,10.4,61.4,86.3,26,1.3,125
222,Innisfail,Sep-25,5,745,-21.7,93.1,24,10.7,6.7,80,90.2,7,0.9,80
222,Innisfail,Sep-25,ALL,4405,-9.3,87.8,11,5.3,19.4,60.9,82.6,57,1.3,234
223,Mareeba,Sep-25,1,53,-30.3,100,1,0,77.4,65.9,66,0,0,0
223,Mareeba,Sep-25,2,500,-2.3,84.4,5,0.2,43.6,51.8,66.8,8,1.6,1
223,Mareeba,Sep-25,3,1806,14.1,76.5,15,3.5,21,53.2,79.8,7,0.4,63
223,Mareeba,Sep-25,4,2459,7.2,65.7,39,10.7,5.4,43.6,80.9,9,0.4,262
223,Mareeba,Sep-25,5,1197,-28.2,83.3,40,11.5,1.4,41.2,85.5,5,0.4,138
223,Mareeba,Sep-25,ALL,6015,-1.9,74.3,21,7.7,13.1,51.6,80.2,29,0.5,464
224,Mossman,Sep-25,1,17,-15,100,1,0,47.1,37.5,58.8,0,0,0
224,Mossman,Sep-25,2,344,-16.7,75.4,8,0.9,43.6,26.7,49.1,3,0.9,3
224,Mossman,Sep-25,3,943,1.6,80.3,14,2,20.9,26.4,71.8,3,0.3,19
224,Mossman,Sep-25,4,1582,-11,72.6,28,6.3,5.8,37,82.6,5,0.3,100
